carVIN,scrapeURL_Model_Year,listingDateDiff,vehicleHistUseType,vehicleHistTitleStatus,vehicleHistNumOwners,vehicleHistAccidents,transmissionType,fuelType,driveType,engineInfo,mileage,interiorColor,exteriorColor,style,location_state,car_location_latitude,car_location_longitude,mileageRating_HWY,mileageRating_CTY,monthlyPayment_USD,allFeatures,listPrice_USD,Price_Difference_Pct
1NXBE40E99Z091042,2009,-22,Personal Use,Clean,3,0,Automatic,Gas,FWD,2.4L Inline-4 Gas,148000,Black,Gray,Sedan, HI,21.3822222,-157.9336111,30,22,141,4 cyl 2 4 liter automatic 5 spd w overdrive fwd traction control stability control abs 4 wheel anti theft system air conditioning power windows cruise control power steering tilt wheel am fm stereo cd mp3 single disc satellite feature dual air bags side air bags head curtain air bags,8500,3.68235294117647
1NXBR12E72Z640906,2002,-9,Personal Use,Clean,5,1,Automatic,Gas,FWD,1.8L Inline-4 Gas,80016,Gray,Gold,Sedan, VA,38.885219,-77.4486772,33,29,83,child safety door locks driver airbag passenger airbag trunk anti trap device tachometer am fm radio automatic headlights daytime running lights front air dam steel wheels,4999,-3.58071614322865
1NXBR12E9WZ117151,1998,-30,Personal Use,Clean,1,0,Manual,Gas,FWD,1.8L Inline-4 Gas,114149,Pebble Beige,Mystic Teal Mica,Sedan, CA,38.5810606,-121.493895,38,31,99,4 piece carpet floor mat set california emissions,5995,-2.18515429524604
1NXBR12E9XZ178310,1999,-3,Personal Use,Clean,4,1,Automatic,Gas,FWD,1.8L Inline-4 Gas,211127,Gray,White,Sedan, MS,34.8723179,-89.6906396,36,28,50,4 cyl 1 8 liter automatic fwd abs 4 wheel air conditioning power windows power door locks cruise control power steering tilt wheel am fm stereo cassette dual air bags alloy wheels,2995,-0.400667779632721
1NXBR30E25Z359339,2005,-15,Personal Use,Clean,1,0,Automatic,Gas,FWD,1.8L Inline-4 Gas,136090,Pebble Beige,Super White,Sedan, CA,33.7458511,-117.826166,38,30,132,15 steel wheels w full wheel covers 6 speakers am fm stereo w cd am fm radio air conditioning bodyside moldings bumpers body color cd player cloth seat trim driver door bin driver vanity mirror dual front impact airbags front bucket seats front center armrest w storage front anti roll bar front fog lights front reading lights front wheel independent suspension,7982,2.2550739163117
1NXBR30E35Z389692,2005,-38,Personal Use,Clean,2,0,Automatic,Gas,FWD,1.8L Inline-4 Gas,197223,Black,Black,Sedan, FL,25.7741566,-80.1935973,38,30,74,4 speakers am fm radio am fm stereo w cd cd player air conditioning rear window defroster power steering speed sensing steering dual front impact airbags front anti roll bar front wheel independent suspension occupant sensing airbag rear anti roll bar bodyside moldings bumpers body color power door mirrors cloth seat trim driver door bin,4444,3.75787578757876
1NXBR30E45Z473861,2005,-24,Personal Use,Clean,2,0,Manual,Gas,FWD,1.8L Inline-4 Gas,183973,Light Gray,Silver Streak Mica,Sedan, CA,34.0775104,-117.6897776,41,32,96,front wheel drive tires front all season tires rear all season temporary spare tire wheel covers steel wheels power steering front disc rear drum brakes daytime running lights power mirror s intermittent wipers cloth seats bucket seats pass through rear seat rear bench seat adjustable steering wheel immobilizer a c,5790,1.70984455958549
1NXBR30E75Z533793,2005,-27,Personal Use,Clean,1,0,Automatic,Gas,FWD,1.8L Inline-4 Gas,125110,Black,Black,Sedan, OR,45.5202471,-122.674194,38,30,124,air conditioning am fm radio cd player child safety door locks daytime running lights driver airbag front air dam interval wipers passenger airbag power adjustable exterior mirror rear window defogger second row folding seat steel wheels tachometer tilt steering tilt steering column trunk anti trap device vehicle anti theft,7495,-0.947298198799199
1NXBR32E16Z739318,2006,-37,Personal Use,Clean,2,2,Automatic,Gas,FWD,1.8L Inline-4 Gas,44502,Stone Cloth,Silver Streak Mica,Sedan, IL,42.1105502,-88.0434304,38,30,165,air filtration front air conditioning front air conditioning zones single front airbags dual antenna type element in dash cd single disc radio am fm front brake type ventilated disc rear brake type drum center console trim simulated wood dash trim simulated wood door trim simulated wood cargo area light center console front console with storage cupholders multi function remote keyless entry trunk release power outlet s front,9980,1.1623246492986
1NXBR32E17Z912773,2007,-8,Personal Use,Clean,1,0,Automatic,Gas,FWD,1.8L Inline-4 Gas,147708,Taupe,Indigo Ink Pearl,Sedan, MA,42.5664984,-70.9362957,41,32,116,4 cylinder engine 5 speed m t a c adjustable steering wheel am fm stereo auxiliary pwr outlet bucket seats cd player child safety locks cloth seats compact spare tire daytime running lights driver air bag emergency trunk release front disc rear drum brakes front wheel drive gasoline fuel intermittent wipers,6988,5.19461934745278
